,행복,행복count,행복sims,열정,열정count,열정sims,두려움,두려움count,두려움sims,분노,분노count,분노sims,우울,우울count,우울sims,슬픔,슬픔count,슬픔sims
131,,0,0.0,만들어지다,1,0.0,분석,1,0.012941824272274971,사람,1,0.2277468740940094,하나,1,0.10607273876667023,,0,0.0
132,,0,0.0,뿐,1,0.20964011549949646,가다,1,0.03068658709526062,살아오다,1,0.0,감당,1,0.13845092058181763,,0,0.0
133,,0,0.0,보고,1,0.029932627454400063,나르다,1,0.0,그때,1,0.180124431848526,지내다,1,0.0,,0,0.0
134,,0,0.0,방향,1,0.14135967195034027,거나,1,0.21130815148353577,형성,1,0.03180190175771713,의미,1,0.22537490725517273,,0,0.0
135,,0,0.0,이끌다,1,0.0,무시,1,0.2127809375524521,가치관,1,0.03646976873278618,지치다,1,0.0,,0,0.0
136,,0,0.0,나아가다,1,0.0,귀,1,0.11514013260602951,무작정,1,0.04538225755095482,뿐,1,0.05098843201994896,,0,0.0
137,,0,0.0,컨디션,1,0.2322404980659485,기울이다,1,0.0,회피,1,0.19248464703559875,한계,1,0.17033301293849945,,0,0.0
138,,0,0.0,가끔,1,0.10430490970611572,호기심,1,0.6299564242362976,거나,1,0.056736573576927185,이해,1,0.2246980220079422,,0,0.0
139,,0,0.0,카트라이더,1,0.0,갖다,1,0.0,숨기다,1,0.0,느끼다,1,0.0,,0,0.0
140,,0,0.0,부스터,1,-0.19631782174110413,오다,1,0.0,대신,1,0.22134335339069366,네,1,0.0022946298122406006,,0,0.0
141,,0,0.0,나르다,1,0.0,래야,1,0.0,그대로,1,0.04200148582458496,용기,1,0.1958407163619995,,0,0.0
142,,0,0.0,달성,1,0.054996561259031296,찾다,1,0.0,인정,1,0.08364072442054749,움직이다,1,0.0,,0,0.0
143,,0,0.0,목적지,1,-0.12001705169677734,깨달,1,0.0,치료,1,0.13811573386192322,육체,1,0.2925805449485779,,0,0.0
144,,0,0.0,촤르륵,1,0.0,자기,1,0.32425159215927124,첫,1,-0.13214871287345886,않다,1,0.0,,0,0.0
145,,0,0.0,데리다,1,0.0,대화,1,0.10069127380847931,걸음,1,-0.013788111507892609,걷다,1,0.0,,0,0.0
146,,0,0.0,중간,1,-0.05384884029626846,긍정,1,0.3086567223072052,정신분석학,1,0.0,춤추다,1,0.0,,0,0.0
147,,0,0.0,못,1,0.08024949580430984,바꾸다,1,0.0,무의식,1,0.1251571774482727,수영,1,0.14981195330619812,,0,0.0
148,,0,0.0,장애물,1,0.08094176650047302,알,1,0.14239192008972168,묻다,1,0.0,점프,1,0.1480514109134674,,0,0.0
149,,0,0.0,만나다,1,0.0,전,1,-0.10971732437610626,점차,1,0.07600980252027512,스트레칭,1,0.0,,0,0.0
150,,0,0.0,회의,1,-0.011239223182201385,이번,1,0.13488441705703735,세계,1,-0.01580032706260681,양,1,0.036379385739564896,,0,0.0
151,,0,0.0,감,1,0.13120658695697784,해내다,1,0.0,올리다,1,0.0,엔돌핀,1,0.0,,0,0.0
152,,0,0.0,다시,1,-0.0853114128112793,일종,1,0.027356300503015518,기억,1,0.24923929572105408,혈액,1,0.14553296566009521,,0,0.0
153,,0,0.0,가야,1,-0.06211605668067932,특정,1,0.11141625791788101,꽁꽁,1,0.0,순환,1,0.07984918355941772,,0,0.0
154,,0,0.0,정,1,-0.07456545531749725,포비아,1,0.0,갇히다,1,0.0,향상,1,0.18630971014499664,,0,0.0
155,,0,0.0,적다,1,0.0,장소,1,0.07270292937755585,떄,1,0.0,뇌,1,0.159088134765625,,0,0.0
156,,0,0.0,밀려오다,1,0.0,점차,1,0.1081368699669838,발휘,1,0.1741335690021515,나서다,1,0.0,,0,0.0
157,,0,0.0,온,1,-0.03532478213310242,접,1,-0.11141546815633774,막상,1,0.24339568614959717,주다,1,0.0,,0,0.0
158,,0,0.0,다해,1,0.0,준비,1,0.022070512175559998,선상,1,-0.14732441306114197,호르몬,1,0.2062879204750061,,0,0.0
159,,0,0.0,헌신,1,0.5215485095977783,돼다,1,0.0,떠올리다,1,0.0,분비,1,0.16436442732810974,,0,0.0
160,,0,0.0,심신,1,0.23238211870193481,매우,1,0.14217717945575714,이해,1,0.23841074109077454,해내다,1,0.0,,0,0.0
161,,0,0.0,실현,1,0.16105331480503082,선택,1,0.023912562057375908,잃다,1,0.0,관련,1,0.054420746862888336,,0,0.0
162,,0,0.0,오히려,1,0.18194863200187683,뇌,1,0.18410849571228027,야생마,1,0.0,질병,1,0.24284672737121582,,0,0.0
163,,0,0.0,흐르다,1,0.0,설명,1,0.1401015967130661,속,1,0.1208401620388031,직접,1,-0.07393862307071686,,0,0.0
164,,0,0.0,이르다,1,0.0,연구,1,0.035318151116371155,콤플렉스,1,0.26013457775115967,치료,1,0.22688060998916626,,0,0.0
165,,0,0.0,만해,1,0.0,지속,1,0.06135592609643936,수치심,1,0.38324350118637085,몇,1,0.05353565141558647,,0,0.0
166,,0,0.0,정말,1,0.2657478451728821,볼,1,-0.021452544257044792,마음껏,1,0.07781393826007843,우울,1,1.0,,0,0.0
167,,0,0.0,상기,1,0.07517869770526886,받다,1,0.0,꺼내다,1,0.0,감,1,0.10072031617164612,,0,0.0
168,,0,0.0,만들다,1,0.0,셀프,1,-0.1933591663837433,놓다,1,0.0,줄,1,0.17298352718353271,,0,0.0
169,,0,0.0,수정,1,-0.0380144827067852,행동,1,0.4336273670196533,자꾸,1,0.16130509972572327,무언가,1,0.1665334701538086,,0,0.0
170,,0,0.0,보완,1,0.031166695058345795,책자,1,-0.06844771653413773,비우다,1,0.0,관심,1,0.1356622874736786,,0,0.0
171,,0,0.0,찌르다,1,0.0,사용,1,-0.1556224524974823,해결,1,0.10794886946678162,반드시,1,0.028389083221554756,,0,0.0
172,,0,0.0,시도,1,0.08927731215953827,공포증,1,0.4923781156539917,관찰,1,0.11601065844297409,음식,1,0.17173102498054504,,0,0.0
173,,0,0.0,캠퍼스,1,-0.07691287994384766,의사,1,0.20296254754066467,길들이다,1,0.0,사다,1,0.0,,0,0.0
174,,0,0.0,지표,1,0.06501506268978119,상담,1,0.18028733134269714,위스콘신,1,0.0,요리법,1,0.024374336004257202,,0,0.0
175,,0,0.0,삼,1,-0.06403441727161407,핵심,1,-0.059884876012802124,대학교,1,-0.1619984209537506,시도,1,0.057021960616111755,,0,0.0
176,,0,0.0,만,1,-0.027730168774724007,가령,1,-0.014266135171055794,심리학,1,-0.03032694198191166,균형,1,0.1650732159614563,,0,0.0
177,,0,0.0,벌어지다,1,0.0,베타,1,-0.08415177464485168,교수,1,-0.11116308718919754,잡히다,1,0.0,,0,0.0
178,,0,0.0,연구,1,0.19852741062641144,제,1,-0.0890902578830719,리처드,1,0.19641971588134766,식사,1,0.1558782458305359,,0,0.0
